WKT,of_Students,Owner_Name,Facility_Identifier,State_Name,Last_Editor,Facility_Area,Feature_Code,Full_Address,Name_of_Facility,Last_Update_Date,Capture_Method,Owner_Type,Municipality_Name,Location_Type,Description,Shape_X,Shape_Y
"POINT (-10673217.9005126 4310909.68933113)",,,,OK,,,School,8720 E 61st St,Mingo Valley Christian School,,Placed on Map,,Tulsa,Building,"Private School, K4-12th",-10673217.9005,4310909.68933
"POINT (-10671991.8127541 4313322.95281206)",,,,OK,,,School: Elementary,4849 S Mingo Rd,Miss Helen's Private School,,Placed on Map,,Tulsa,Building,"Private School, K3-5th",-10671991.8128,4313322.95281
"POINT (-10682678.1971869 4309336.93879669)",,,,OK,,,School: Elementary,2021 E 71st St,Mizel Jewish Community Day School,,Placed on Map,,Tulsa,Building,Private School,-10682678.1972,4309336.9388
"POINT (-10676866.3216242 4313837.23377288)",,,,OK,,,School,4620 S Irvington Ave,Peace Academy,,Placed on Map,,Tulsa,Building,"Private School, Pre-12th",-10676866.3216,4313837.23377
"POINT (-10673879.4107239 4305818.02172971)",,,,OK,,,School,8621 S Memorial Dr,Regent Preparatory School of Oklahoma,,Placed on Map,,Tulsa,Building,"Private School, Pre-12th",-10673879.4107,4305818.02173
"POINT (-10688849.2062819 4311179.70857392)",,,,OK,,,School,2433 W 61st St,Riverfield Country Day School,,Placed on Map,,Tulsa,Building,"Private School, Infant-12th",-10688849.2063,4311179.70857
"POINT (-10689120.8488667 4314042.9841808)",,,,OK,,,School,2515 W 46th St,Saint Catherine Catholic School,,Placed on Map,,Tulsa,Building,"Private School, Pre-8th",-10689120.8489,4314042.98418
"POINT (-10674729.884995 4319615.84143083)",,,,OK,,,School,1717 S 75th E Ave,Saint Pius X School,,Placed on Map,,Tulsa,Building,"Private School, Pre-8th",-10674729.885,4319615.84143
"POINT (-10675831.532038 4324843.48899186)",,,,OK,,,School,1428 N 67th E Ave,Saints Peter and Paul School,,Placed on Map,,Tulsa,Building,"Private School, Pre-8th",-10675831.532,4324843.48899
"POINT (-10684823.1806348 4329962.96607949)",,,,OK,,,School: Elementary,4025 N Hartford Ave,Solid Foundation Preparatory Academy,,Placed on Map,,Tulsa,Building,"Private School, Pre-5th",-10684823.1806,4329962.96608
"POINT (-10677836.8955302 4315804.31646667)",,,,OK,,,School,5120 E 36th St,The Little Light House,,Placed on Map,,Tulsa,Building,"Private School, Birth-Age 6",-10677836.8955,4315804.31647
"POINT (-10681803.5307202 4322581.20812917)",,,,OK,,,School: Middle School,2444 E Admiral Blvd,The San Miguel School of Tulsa,,Placed on Map,,Tulsa,Building,Private School,-10681803.5307,4322581.20813
"POINT (-10679355.0977387 4321174.39079372)",,,,OK,,,School,900 S New Haven Ave,Tulsa Adventist Academy,,Placed on Map,,Tulsa,Building,"Private School, Pre-12th",-10679355.0977,4321174.39079
"POINT (-10676932.6240288 4315736.9271061)",,,,OK,,,School,3745 S Hudson Ave,Undercroft Montessori School,,Placed on Map,,Tulsa,Building,"Private School, Age 3-8th",-10676932.624,4315736.92711
"POINT (-10680770.8632474 4322088.34403945)",,,,OK,,,School,326 S College Ave,University School at the University of Tulsa,,Placed on Map,,Tulsa,Building,"Private School, Age3-8th",-10680770.8632,4322088.34404
"POINT (-10669910.2050235 4322818.18799858)",,,,OK,,,School,11391 E Admiral Pl,Wright Christian Academy,,Placed on Map,,Tulsa,Building,"Private School, Pre-12th",-10669910.205,4322818.188
